car_id,is_accident_free,inspection_grade,has_sunroof,has_navigation,has_leather_seat,has_smart_key,has_rear_camera
40978457,1,normal,1,1,1,1,1
40277621,1,normal,1,1,1,1,1
40986380,1,normal,1,1,1,1,1
40697385,1,normal,1,1,1,1,1
40644988,1,normal,1,1,1,1,1
40954799,1,normal,1,1,1,1,1
40987793,1,normal,1,1,1,1,1
40866226,1,normal,1,1,1,1,1
40981039,1,normal,1,1,1,1,1
40962148,1,normal,1,1,1,1,1
40949218,1,normal,1,1,1,1,1
40949230,1,normal,1,1,1,1,1
40802333,1,normal,1,1,1,1,1
40924549,1,normal,1,1,1,1,1
40861043,1,normal,1,1,1,1,1
40802351,1,normal,1,1,1,1,1
41017306,1,normal,1,1,1,1,1
40335622,1,normal,1,1,1,1,1
40577686,1,normal,1,1,1,1,1
40778483,1,normal,1,1,1,1,1
40964049,1,normal,1,1,1,1,1
40583813,1,normal,1,1,1,1,1
40842381,0,normal,1,1,1,1,1
40977550,0,normal,1,1,1,1,1
40989862,1,normal,1,1,1,1,1
40874468,1,normal,1,1,1,1,1
40405204,1,normal,1,1,1,1,1
40471889,1,normal,1,1,1,1,1
40586070,1,normal,1,1,1,1,1
40563958,1,normal,1,1,1,1,1
40455770,1,normal,1,1,1,1,1
40559232,1,normal,1,1,1,1,1
40901074,1,normal,1,1,1,1,1
40780653,1,normal,1,1,1,1,1
40544066,1,normal,1,1,1,1,1
40831176,1,normal,1,1,1,1,1
40257195,1,normal,1,1,1,1,1
40835033,1,normal,1,1,1,1,1
40677655,1,normal,1,1,1,1,1
39471488,0,normal,1,1,1,1,1
40921667,0,normal,1,1,1,1,1
40399158,0,normal,1,1,1,1,1
40884112,1,normal,1,1,1,1,1
39998172,0,normal,1,1,1,1,1
39914694,0,normal,1,1,1,1,1
40560521,0,normal,1,1,1,1,1
41012859,0,normal,1,1,1,1,1
40963078,1,normal,1,1,1,1,1
41021455,0,good,1,1,1,1,1
40836517,1,normal,1,1,1,1,1
40745272,0,good,1,1,1,1,1
39589035,1,normal,1,1,1,1,1
40790914,0,normal,1,1,1,1,1
40369429,1,normal,1,1,1,1,1
40894751,1,normal,1,1,1,1,1
40663745,1,normal,1,1,1,1,1
40994543,0,normal,1,1,1,1,1
40700214,0,normal,1,1,1,1,1
40919256,0,normal,1,1,1,1,1
40824770,1,normal,1,1,1,1,1
