car_id,is_accident_free,inspection_grade,has_sunroof,has_navigation,has_leather_seat,has_smart_key,has_rear_camera
40512505,0,good,1,1,1,1,1
38493553,1,normal,1,1,1,1,1
40611396,0,normal,1,1,1,1,1
40682452,0,normal,1,1,1,1,1
40937262,0,normal,1,1,1,1,1
40937175,0,normal,1,1,1,1,1
40336494,1,normal,1,1,1,1,1
40960485,1,normal,1,1,1,1,1
39830572,1,normal,1,1,1,1,1
40836230,1,normal,1,1,1,1,1
40772574,1,normal,1,1,1,1,1
40747188,0,normal,1,1,1,1,1
40936709,0,normal,1,1,1,1,1
40702190,0,normal,1,1,1,1,1
39887214,1,normal,1,1,1,1,1
40567270,0,normal,1,1,1,1,1
40866904,1,normal,1,1,1,1,1
39702432,1,normal,1,1,1,1,1
38743476,0,normal,1,1,1,1,1
40667415,1,normal,1,1,1,1,1
38955192,0,normal,1,1,1,1,1
37231597,0,normal,1,1,1,1,1
39335358,0,normal,1,1,1,1,1
39366907,1,normal,1,1,1,1,1
40779906,0,normal,1,1,1,1,1
40988349,0,normal,1,1,1,1,1
36349862,1,normal,1,1,1,1,1
40942948,0,normal,1,1,1,1,1
40780977,0,normal,1,1,1,1,1
40877097,1,normal,1,1,1,1,1
40826012,0,normal,1,1,1,1,1
39273435,0,good,1,1,1,1,1
39171186,1,normal,1,1,1,1,1
39546928,1,normal,1,1,1,1,1
40254283,1,normal,1,1,1,1,1
39834239,1,normal,1,1,1,1,1
40973146,0,good,1,1,1,1,1
40752154,0,normal,1,1,1,1,1
40889177,1,normal,1,1,1,1,1
40495128,1,normal,1,1,1,1,1
40468556,0,normal,1,1,1,1,1
40556544,0,normal,1,1,1,1,1
40996950,0,normal,1,1,1,1,1
40697248,1,normal,1,1,1,1,1
39569531,0,good,1,1,1,1,1
40181008,1,normal,1,1,1,1,1
41004834,1,normal,1,1,1,1,1
40983391,0,good,1,1,1,1,1
40713003,1,normal,1,1,1,1,1
39893913,0,good,1,1,1,1,1
39870480,1,normal,1,1,1,1,1
40876409,1,normal,1,1,1,1,1
39162427,1,normal,1,1,1,1,1
41018090,0,good,1,1,1,1,1
40942477,1,normal,1,1,1,1,1
40839258,1,normal,1,1,1,1,1
40901544,1,normal,1,1,1,1,1
40689283,0,normal,1,1,1,1,1
38675012,0,good,1,1,1,1,1
40974436,1,normal,1,1,1,1,1
39032061,0,good,1,1,1,1,1
39124154,0,good,1,1,1,1,1
40835417,1,normal,1,1,1,1,1
40648133,0,normal,1,1,1,1,1
40231446,0,good,1,1,1,1,1
40423635,1,normal,1,1,1,1,1
40346481,1,normal,1,1,1,1,1
40758298,1,normal,1,1,1,1,1
40512460,1,normal,1,1,1,1,1
40986187,1,normal,1,1,1,1,1
40531880,1,normal,1,1,1,1,1
40486561,1,normal,1,1,1,1,1
38800163,0,good,1,1,1,1,1
39875252,1,normal,1,1,1,1,1
40556827,0,good,1,1,1,1,1
40479202,1,normal,1,1,1,1,1
40870824,0,good,1,1,1,1,1
39870839,1,normal,1,1,1,1,1
40294443,0,normal,1,1,1,1,1
40618294,1,normal,1,1,1,1,1
40494167,1,normal,1,1,1,1,1
37596698,1,normal,1,1,1,1,1
40903744,1,normal,1,1,1,1,1
40494135,1,normal,1,1,1,1,1
39019517,1,normal,1,1,1,1,1
40035037,1,normal,1,1,1,1,1
39216311,0,good,1,1,1,1,1
41032294,0,normal,1,1,1,1,1
40924384,0,normal,1,1,1,1,1
40915449,0,normal,1,1,1,1,1
38235545,0,normal,1,1,1,1,1
41023654,0,normal,1,1,1,1,1
40757161,1,normal,1,1,1,1,1
39882417,1,normal,1,1,1,1,1
40774798,1,normal,1,1,1,1,1
40242657,1,normal,1,1,1,1,1
40878194,0,normal,1,1,1,1,1
40651403,1,normal,1,1,1,1,1
40119410,1,normal,1,1,1,1,1
41000483,0,normal,1,1,1,1,1
40196279,0,good,1,1,1,1,1
40847175,0,normal,1,1,1,1,1
39628874,0,good,1,1,1,1,1
39888682,1,good,1,1,1,1,1
40467433,1,normal,1,1,1,1,1
40841495,1,normal,1,1,1,1,1
39378240,0,good,1,1,1,1,1
40299702,0,normal,1,1,1,1,1
40763997,0,normal,1,1,1,1,1
39772735,1,normal,1,1,1,1,1
40797141,0,normal,1,1,1,1,1
40856902,1,normal,1,1,1,1,1
40993496,1,normal,1,1,1,1,1
40788667,0,normal,1,1,1,1,1
40893776,1,normal,1,1,1,1,1
40901869,0,normal,1,1,1,1,1
40974011,1,normal,1,1,1,1,1
40877034,1,normal,1,1,1,1,1
40518159,0,normal,1,1,1,1,1
39082429,1,normal,1,1,1,1,1
39968466,0,normal,1,1,1,1,1
40842891,1,normal,1,1,1,1,1
40701253,0,normal,1,1,1,1,1
40970039,0,normal,1,1,1,1,1
40644245,1,normal,1,1,1,1,1
40796004,0,normal,1,1,1,1,1
